"analysis_id","mgi_accession_id","gene_symbol","mouse_life_stage","mouse_strain","parameter_id","parameter_name","pvalue"
"00025394r9310l8","MGI:2153608","Ube2j2","Early adult","C57BL","IMPC_CBC_018_001","Glucose",0.92
"000dc41o710sv78","MGI:1914852","Necap1","Early adult","C57BL","M-G-P_006_001_026","Fusion of vertebrae",0.41
"001064a16a14459","MGI:3607787","Spata21","Early adult","C57BL","IMPC_OFD_011_001","Periphery resting time",0.87
"001fuo6520sb3oy","MGI:1932970","Ucn3","Early adult","C57BL","M-G-P_007_001_010","center - distance",0.51
"001kn6d238bap85","MGI:2385186","Clcc1","E12.5","C57BL","IMPC_GRS_008_001","Forelimb grip strength measurement mean",0.77
"001lx9bylll4etw","MGI:2444401","Snrnp200","Early adult","C57BL","IMPC_HEM_008_001","Platelet count",0.06
"0020041tf2214y3","MGI:1922928","Ippk","Early adult","C57BL","IMPC_GRS_011_001","Forelimb and hindlimb grip strength normalised against body weight",0.63
"0029nm7c193w4j6","MGI:2385186","Clcc1","Early adult","C57BL","IMPC_CBC_005_001","Creatinine",0.21
"002ui5p6k89w342","MGI:1921078","Dcaf4","Early adult","C57BL","IMPC_OFD_015_001","Center resting time",0.83
"002v12129kan406","MGI:99602","Acan","Early adult","C57BL","IMPC_HWT_008_001","Heart weight",0.47
"00315jjm71f0213","MGI:1347361","Mmp23","Early adult","C57BL","IMPC_ACS_006_001","Response amplitude - S",0.21
"0035683697nhz7i","MGI:98241","Stmn2","E18.5","C57BL","IMPC_OFD_015_001","Center resting time",0.47
"003h9t2lah4olh3","MGI:2661120","Actr3b","Early adult","C52BL","IMPC_EYE_014_001","Pupil Light Response",0.77
"003o3b4j7jec95n","MGI:1915918","Klk5","Early adult","C57BL","IMPC_OFD_009_001","Whole arena average speed",0.63
"003vk817zmfr0l3","MGI:2661120","Actr3b","Early adult","C57BL","IMPC_GRS_009_001","Forelimb and hindlimb grip strength measurement mean",0.91
