"group_name","parameter_name"
"functional_behavioral","Forelimb grip strength measurement"
"functional_behavioral","Forelimb and hindlimb grip strength measurement"
"weight","Body weight"
"other","General comments about the mouse"
"equipment","Equipment ID"
"equipment","Equipment manufacturer"
"other","Grid model"
"functional_behavioral","Forelimb grip strength measurement mean"
"functional_behavioral","Forelimb and hindlimb grip strength measurement mean"
"weight","Forelimb grip strength normalised against body weight"
"weight","Forelimb and hindlimb grip strength normalised against body weight"
"other","Experimenter ID"
"equipment","Equipment model"
"equipment","Date equipment last calibrated"
"other","Adrenal gland"
"other","Lower Urinary Tract"
"brain","Brain"
"other","Eye"
"heart","Heart"
"other","Kidney"
"other","Liver"
"other","Lymph Node"
"other","Mammary gland"
"other","Ovary"
"other","Oviduct"
"other","Skin"
"other","Stomach"
"other","Testis"
"other","Thymus"
"other","Trachea"
"other","Uterus"
"other","Large Intestine"
"other","Esophagus"
"brain","Spinal cord"
"other","Thyroid gland"
"brain","Pituitary gland"
"other","Skeletal Muscle"
"other","Small Intestine"
"other","White Adipose Tissue"
"other","Lung"
"heart","Aorta"
"other","Pancreas"
"other","Prostate gland"
"other","Spleen"
"brain","Brainstem"
"other","Cartilage tissue"
"brain","Cerebral Cortex"
"brain","Cerebellum"
"brain","Hippocampus"
"brain","Hypothalamus"
"brain","Olfactory Lobe"
"brain","Peripheral Nervous System"
"other","Peyers Patch"
"other","Striatum"
"blood_hematology","Vascular System"
"other","Urinary bladder"
"other","Bone"
"other","Cecum"
"other","Colon"
"other","Duodenum"
"other","Ileum"
"other","Jejunum"
"other","Gonadal fat pad"
"other","Bone  Marrow"
"other","Vas Deferens"
"other","Brown adipose tissue"
"other","Mesenteric adipose tissue"
"blood_hematology","Blood"
"other","Diaphragm"
"other","Gall Bladder"
"other","Harderian Gland"
"other","Hindlimb"
"other","Quadriceps"
"other","Parathyroid gland"
"other","Parotid gland"
"other","Penis"
"other","Stomach pyloric region"
"other","Chest bone"
"other","Sciatic nerve"
"other","Cranium"
"other","Sublingual Gland"
"other","Submandibular Gland"
"other","Tongue"
"brain","Trigeminal V nerve"
