"","row","field","value","issue_type"
"1",13,"mouse_strain","C52BL","Not allowed"
"2",52,"mouse_strain","C54BL","Not allowed"
"3",173,"mouse_strain","C50BL","Not allowed"
"4",319,"mouse_strain","C53BL","Not allowed"
"5",338,"mouse_strain","C51BL","Not allowed"
"6",355,"mouse_strain","C54BL","Not allowed"
"7",580,"mouse_strain","C53BL","Not allowed"
"8",621,"mouse_strain","C58BL","Not allowed"
"9",705,"mouse_strain","C50BL","Not allowed"
"10",1180,"mouse_strain","C55BL","Not allowed"
"11",1187,"mouse_strain","C55BL","Not allowed"
"12",1215,"mouse_strain","C56BL","Not allowed"
"13",1220,"mouse_strain","C51BL","Not allowed"
"14",1287,"mouse_strain","C56BL","Not allowed"
"15",1296,"mouse_strain","C55BL","Not allowed"
"16",1679,"mouse_strain","C51BL","Not allowed"
"17",1683,"mouse_strain","C59BL","Not allowed"
"18",1728,"mouse_strain","C58BL","Not allowed"
"19",1813,"mouse_strain","C58BL","Not allowed"
"20",1871,"mouse_strain","120SV","Not allowed"
"21",1873,"mouse_strain","C59BL","Not allowed"
"22",1933,"mouse_strain","C50BL","Not allowed"
"23",1935,"mouse_strain","C52BL","Not allowed"
"24",1993,"mouse_strain","C53BL","Not allowed"
"25",2082,"mouse_strain","C52BL","Not allowed"
"26",2340,"mouse_strain","C58BL","Not allowed"
"27",2471,"mouse_strain","C58BL","Not allowed"
"28",2488,"mouse_strain","C56BL","Not allowed"
"29",2505,"mouse_strain","C54BL","Not allowed"
"30",2615,"mouse_strain","C55BL","Not allowed"
"31",2775,"mouse_strain","C59BL","Not allowed"
"32",2867,"mouse_strain","C54BL","Not allowed"
"33",2881,"mouse_strain","C55BL","Not allowed"
"34",3178,"mouse_strain","C54BL","Not allowed"
"35",3189,"mouse_strain","C56BL","Not allowed"
"36",3313,"mouse_strain","C59BL","Not allowed"
"37",3373,"mouse_strain","C50BL","Not allowed"
"38",3612,"mouse_strain","C58BL","Not allowed"
"39",3654,"mouse_strain","C50BL","Not allowed"
"40",3686,"mouse_strain","C52BL","Not allowed"
"41",3746,"mouse_strain","C51BL","Not allowed"
"42",3843,"mouse_strain","C58BL","Not allowed"
"43",3846,"mouse_strain","C53BL","Not allowed"
"44",4286,"mouse_strain","C54BL","Not allowed"
"45",4475,"mouse_strain","C51BL","Not allowed"
"46",4513,"mouse_strain","C51BL","Not allowed"
"47",4581,"mouse_strain","C54BL","Not allowed"
"48",4699,"mouse_strain","C51BL","Not allowed"
"49",4711,"mouse_strain","C53BL","Not allowed"
"50",4731,"mouse_strain","C51BL","Not allowed"
"51",4771,"mouse_strain","C50BL","Not allowed"
"52",4775,"mouse_strain","C58BL","Not allowed"
"53",4949,"mouse_strain","C56BL","Not allowed"
"54",5281,"mouse_strain","C58BL","Not allowed"
"55",5386,"mouse_strain","C50BL","Not allowed"
"56",5495,"mouse_strain","C50BL","Not allowed"
"57",5564,"mouse_strain","C52BL","Not allowed"
"58",5886,"mouse_strain","C59BL","Not allowed"
"59",5962,"mouse_strain","C53BL","Not allowed"
"60",6036,"mouse_strain","C50BL","Not allowed"
"61",6055,"mouse_strain","C58BL","Not allowed"
"62",6071,"mouse_strain","C58BL","Not allowed"
"63",6105,"mouse_strain","C53BL","Not allowed"
"64",6253,"mouse_strain","C58BL","Not allowed"
"65",6257,"mouse_strain","C54BL","Not allowed"
"66",6823,"mouse_strain","C50BL","Not allowed"
"67",7022,"mouse_strain","C53BL","Not allowed"
"68",7164,"mouse_strain","C51BL","Not allowed"
"69",7193,"mouse_strain","C55BL","Not allowed"
"70",7216,"mouse_strain","C51BL","Not allowed"
"71",7488,"mouse_strain","C52BL","Not allowed"
"72",7513,"mouse_strain","C50BL","Not allowed"
"73",7597,"mouse_strain","C59BL","Not allowed"
"74",7689,"mouse_strain","C52BL","Not allowed"
"75",7779,"mouse_strain","C52BL","Not allowed"
"76",7837,"mouse_strain","C55BL","Not allowed"
"77",7919,"mouse_strain","C58BL","Not allowed"
"78",8285,"mouse_strain","C58BL","Not allowed"
"79",8430,"mouse_strain","C50BL","Not allowed"
"80",8651,"mouse_strain","C54BL","Not allowed"
"81",8818,"mouse_strain","C59BL","Not allowed"
"82",9010,"mouse_strain","C52BL","Not allowed"
"83",9016,"mouse_strain","C58BL","Not allowed"
"84",9288,"mouse_strain","C55BL","Not allowed"
"85",9321,"mouse_strain","C54BL","Not allowed"
"86",9559,"mouse_strain","C53BL","Not allowed"
"87",9581,"mouse_strain","C50BL","Not allowed"
"88",9586,"mouse_strain","C53BL","Not allowed"
"89",9587,"mouse_strain","C52BL","Not allowed"
"90",9657,"mouse_strain","C54BL","Not allowed"
"91",9710,"mouse_strain","C51BL","Not allowed"
"92",9800,"mouse_strain","C52BL","Not allowed"
"93",10029,"mouse_strain","C52BL","Not allowed"
"94",10053,"mouse_strain","C50BL","Not allowed"
"95",10187,"mouse_strain","C51BL","Not allowed"
"96",10479,"mouse_strain","C52BL","Not allowed"
"97",10500,"mouse_strain","C50BL","Not allowed"
"98",10771,"mouse_strain","C56BL","Not allowed"
"99",10817,"mouse_strain","127SV","Not allowed"
"100",11010,"mouse_strain","C58BL","Not allowed"
"101",11055,"mouse_strain","C50BL","Not allowed"
"102",11453,"mouse_strain","C54BL","Not allowed"
"103",11558,"mouse_strain","C53BL","Not allowed"
"104",11631,"mouse_strain","C53BL","Not allowed"
"105",11689,"mouse_strain","C54BL","Not allowed"
"106",11690,"mouse_strain","C56BL","Not allowed"
"107",12192,"mouse_strain","C53BL","Not allowed"
"108",12201,"mouse_strain","C59BL","Not allowed"
"109",12258,"mouse_strain","C58BL","Not allowed"
"110",12443,"mouse_strain","C59BL","Not allowed"
"111",12536,"mouse_strain","C52BL","Not allowed"
"112",12606,"mouse_strain","C51BL","Not allowed"
"113",12620,"mouse_strain","C52BL","Not allowed"
"114",12646,"mouse_strain","C59BL","Not allowed"
"115",12700,"mouse_strain","C50BL","Not allowed"
"116",12784,"mouse_strain","C56BL","Not allowed"
"117",12794,"mouse_strain","C59BL","Not allowed"
"118",13049,"mouse_strain","C58BL","Not allowed"
"119",13069,"mouse_strain","C54BL","Not allowed"
